original_id,new_name,words_used,status,txt_path,img_path
16c12c41b1c4 - b2 - 3_1113,reminded my apartment neighbor oliver sc,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1113_en_US_notes_people relationships___PART032_14.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1113 told my apartment neighbor oliver school.jpg
16c12c41b1c4 - b2 - 3_1114,tryna call milan my best friend,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1114_en_US_notes_people relationships___PART032_15.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1114 gotta call milan my best friend.jpg
16c12c41b1c4 - b2 - 3_1115,tryna call reid about new product ideas,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1115_en_US_notes_people relationships___PART032_16.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1115 gotta call reid about new product ideas.jpg
16c12c41b1c4 - b2 - 3_1116,thinking abt all,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1116_en_US_notes_people relationships___PART032_17.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1116 thinking abt all the tass.jpg
16c12c41b1c4 - b2 - 3_1117,asked sister dej about luunch drop off,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1117_en_US_notes_people relationships___PART032_18.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1117 told sister dej about luunch drop off.jpg
16c12c41b1c4 - b2 - 3_1118,meant to bring up plumbing quote with so,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1118_en_US_notes_people relationships___PART032_19.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1118 gonna bring up plumbing quote with sooph.jpg
16c12c41b1c4 - b2 - 3_1119,hoping to review q3 goals with ainsley,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1119_en_US_notes_people relationships___PART032_20.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1119 need to review q3 goals with ainsley.jpg
16c12c41b1c4 - b2 - 3_1120,gonna bring up new,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1120_en_US_notes_people relationships___PART033_21.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1120 gonna bring up new song.jpg
16c12c41b1c4 - b2 - 3_1121,wondering abt getting rylee a gift,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1121_en_US_notes_people relationships___PART033_22.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1121 thinking abt getting rylee a gift.jpg
16c12c41b1c4 - b2 - 3_1122,schedule time w my sisster,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1122_en_US_notes_people relationships___PART033_23.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1122 schedule time w my sisster lydia to.jpg
16c12c41b1c4 - b2 - 3_1123,keep putting off pickups from hospital b,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1123_en_US_notes_people relationships___PART033_24.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1123 been putting off pickups from hospital b.jpg
16c12c41b1c4 - b2 - 3_1124,update on cuz,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1124_en_US_notes_people relationships___PART033_25.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1124 update on cuz lydia she got a sweet new .jpg
16c12c41b1c4 - b2 - 3_1125,ask dentist,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1125_en_US_notes_people relationships___PART033_26.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1125 ask dentist annabelle about massive cost.jpg
16c12c41b1c4 - b2 - 3_1126,texted personal trainer abt issues with,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1126_en_US_notes_people relationships___PART033_27.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1126 told personal trainer abt issues with do.jpg
16c12c41b1c4 - b2 - 3_1127,wondering if annabelle,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1127_en_US_notes_people relationships___PART033_28.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1127 wondering if annabelle forgot locker com.jpg
16c12c41b1c4 - b2 - 3_1128,ask my neighbor,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1128_en_US_notes_people relationships___PART033_29.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1128 ask my neighbor about baby shower.jpg
16c12c41b1c4 - b2 - 3_1129,thinking abt feelipe,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1129_en_US_notes_people relationships___PART033_30.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1129 thinking abt feelipe.jpg
16c12c41b1c4 - b2 - 3_1130,tiana my,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1130_en_US_notes_people relationships___PART033_31.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1130 tiana my best friend said.jpg
16c12c41b1c4 - b2 - 3_1131,anyway Piper my dental hygienist is runn,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1131_en_US_notes_people relationships___PART033_32.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1131 so Piper my dental hygienist is running .jpg
16c12c41b1c4 - b2 - 3_1132,keep meaning to plan something for,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1132_en_US_notes_people relationships___PART033_33.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1132 been meaning to plan something for.jpg
16c12c41b1c4 - b2 - 3_1133,messaged my girl bff emily,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1133_en_US_notes_people relationships___PART033_34.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1133 told my girl bff emily.jpg
16c12c41b1c4 - b2 - 3_1134,supposed to call esmeralda my aunt figue,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1134_en_US_notes_people relationships___PART033_35.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1134 gotta call esmeralda my aunt figue rn ab.jpg
16c12c41b1c4 - b2 - 3_1135,heads up abt spectrum,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1135_en_US_notes_people relationships___PART033_36.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1135 heads up abt spectrum bill dispute ask.jpg
16c12c41b1c4 - b2 - 3_1136,set up tome w my nephew to decide on pai,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1136_en_US_notes_people relationships___PART033_37.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1136 schedule tome w my nephew to decide on p.jpg
16c12c41b1c4 - b2 - 3_1137,should probably send,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1137_en_US_notes_people relationships___PART033_38.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1137 should probably send ticket info to.jpg
16c12c41b1c4 - b2 - 3_1138,ok so ontx,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1138_en_US_notes_people relationships___PART033_39.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1138 ok so ontx my buddy said check.jpg
16c12c41b1c4 - b2 - 3_1139,schedule time w my bro,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1139_en_US_notes_people relationships___PART033_40.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1139 schedule time w my bro jameson to grab c.jpg
16c12c41b1c4 - b2 - 3_1140,ask my dental,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1140_en_US_notes_people relationships___PART034_41.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1140 ask my dental hygieniist isabelle.jpg
16c12c41b1c4 - b2 - 3_1141,honestly putting off telling andre but,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1141_en_US_notes_people relationships___PART034_42.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1141 been putting off telling andre but.jpg
